Wiki ID,Freebase ID,Movie name,Release date,Revenue,Runtime,Languages,Genres,Noms_Pays,Continent
171058,/m/016z5x,Chaplin,1992-12-25,9493259.0,145.0,"{""/m/02h40lc"": ""English Language""}","{""/m/017fp"": ""Biography"", ""/m/0219x_"": ""Indie"", ""/m/04xvh5"": ""Costume drama"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3mws"": ""Biopic [feature]"", ""/m/03bxz7"": ""Biographical film""}",United Kingdom,Europe
3927698,/m/0b74vn,Il Cuore nel Pozzo,2005-02-06,,,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/07s9rl0"": ""Drama""}",Italy,Europe
36166216,/m/0k0dxfx,L'iguana dalla lingua di fuoco,1971-08-24,,92.0,"{""/m/02bjrlw"": ""Italian Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/02n4kr"": ""Mystery""}",West Germany,Europe
1688879,/m/05nkn9,In the Presence of a Clown,1997-11-01,,118.0,"{""/m/06mp7"": ""Swedish Language""}","{""/m/07s9rl0"": ""Drama""}",Sweden,Europe
13911991,/m/03cn0rs,A Sereia de Pedra,1923-04-02,,,"{""/m/064_8sq"": ""French Language""}","{""/m/06ppq"": ""Silent film"", ""/m/07s9rl0"": ""Drama""}",France,Europe
20117139,/m/04ybcks,Susanne Brink's Arirang,1991-09-21,,118.0,"{""/m/06mp7"": ""Swedish Language"", ""/m/02hwhyv"": ""Korean Language""}","{""/m/07s9rl0"": ""Drama""}",South Korea,Europe
20117139,/m/04ybcks,Susanne Brink's Arirang,1991-09-21,,118.0,"{""/m/06mp7"": ""Swedish Language"", ""/m/02hwhyv"": ""Korean Language""}","{""/m/07s9rl0"": ""Drama""}",Sweden,Europe
1033297,/m/0401sg,Resident Evil,2002-03-12,102441078.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/094ddt"": ""Doomsday film"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03p15s3"": ""Plague"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/02kdv5l"": ""Action""}",France,Europe
1033297,/m/0401sg,Resident Evil,2002-03-12,102441078.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/094ddt"": ""Doomsday film"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03p15s3"": ""Plague"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/02kdv5l"": ""Action""}",Canada,Europe
1033297,/m/0401sg,Resident Evil,2002-03-12,102441078.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/094ddt"": ""Doomsday film"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03p15s3"": ""Plague"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/02kdv5l"": ""Action""}",United Kingdom,Europe
